12;asd;33;asd
13;Ingrese Nombre;2;Ingrese Descripcion
14;Ingrese Nombre;12;Ingrese Descripcion
15;Ingrese Nombre;2;Ingrese Descripcion
15;Ingrese Nombre;2;Ingrese Descripcion
16;Ingrese Nombre;34;Ingrese Descripcion
17;Ingrese Nombre;3;Ingrese Descripcion
18;Ingrese Nombre;34;Ingrese Descripcion
19;Ingrese Nombre;30;Ingrese Descripcion
20;Ingrese Nombre;30;Ingrese Descripcion
21;Ingrese Nombre;30;Ingrese Descripcion
22;Ingrese Nombre;30;Ingrese Descripcion
23;Ingrese Nombre;34;Ingrese Descripcion
24;Ingrese Nombre;444;Ingrese Descripcion
25;Ingrese Nombre;44444;Ingrese Descripcion
26;Ingrese Nombre;22;Ingrese Descripcion
27;hola;20000;asdasdadasdad
28;hola;444;asdasdad4asdad
29;a;123;Ingrese Descripcion
30;MILA;100000000;ES DORADA Y MUY BELLA
31;MILA;100000000;ES DORADA Y MUY BELLA
32;MILA;100000000;ES DORADA Y MUY BELLA
